word1	word2	anc1	anc2	fsg	bsg	con1	con2	nphon1	nphon2	easiness	index
tongue	mouth	6.028	6.639	0.383	0.114	6.12	5.47	3	3	8.008	65657
dentist	teeth	5.024	6.146	0.459	0.056	6.03	6.14	7	3	8.006	17200
station	train	7.229	6.983	0.319	0.083	5.48	5.79	6	4	8.004	60803
beast	animal	5.352	7.283	0.4	0.011	6.51	5.65	4	6	7.998	4911
roast	beef	4.852	6.047	0.494	0.085	5.02	6.23	4	3	7.997	53383
monastery	monk	5.447	5.407	0.462	0.095	5.44	6.63	9	4	7.996	40424
beverage	drink	4.787	7.009	0.493	0	5.87	4.95	6	5	7.992	5466
garden	flower	6.991	5.841	0.391	0.036	5.92	5.62	6	4	7.929	26747
dish	plate	5.991	6.649	0.315	0.23	6.77	5.74	3	4	7.906	18661
ape	monkey	4.605	6.038	0.459	0.174	6.4	5.46	2	5	7.885	2403
stream	river	5.953	7.524	0.321	0.118	6.24	5.83	5	4	7.881	61666
flavor	taste	5.7	7.098	0.5	0.024	4.03	4.53	5	4	7.835	24486
cardinal	bird	5.075	6.471	0.471	0	5.79	5.77	8	3	7.825	9257
jury	judge	7.164	7.484	0.25	0.088	6.17	6.25	4	3	7.801	34304
swift	fast	4.977	7.383	0.606	0.016	3.31	2.93	5	4	7.787	63140
stamp	letter	5.308	7.509	0.384	0.088	6.3	5.16	5	4	7.785	60570
key	lock	7.786	5.656	0.255	0.406	6.08	5.02	2	3	7.771	34463
lion	tiger	5.303	6.043	0.362	0.308	6.14	6.07	4	4	7.749	36569
lips	kiss	5.697	6.001	0.432	0	6.5	5.78	4	3	7.71	36597
manager	boss	7.191	6.837	0.284	0.064	6.04	6.35	6	3	7.691	37974
rug	carpet	4.454	5.425	0.468	0.248	6.12	5.68	3	6	7.664	53944
sack	bag	4.443	6.597	0.444	0.11	5.7	6.3	3	3	7.65	54190
trip	vacation	7.343	6.884	0.297	0.419	4.39	4.1	4	7	7.627	66739
knight	armor	4.977	4.407	0.517	0.293	5.44	5.09	3	4	7.62	34868
identical	twin	6.873	6.165	0.429	0.072	3.8	5.58	9	4	7.61	32005
mad	angry	6.425	6.444	0.393	0.52	3.04	3.75	3	5	7.577	37529
moon	sun	6.184	7.349	0.299	0.15	5.68	6.23	3	3	7.555	40618
mall	shopping	6.052	7.257	0.261	0.514	5.94	4.28	3	5	7.547	37902
stadium	football	6.25	7.05	0.375	0.028	5.32	5.75	7	6	7.546	60350
cigar	smoke	4.673	6.55	0.507	0	5.56	5.16	5	4	7.535	11202
ballet	dance	5.434	7.159	0.428	0.081	5.23	4.98	4	4	7.533	4125
pipe	smoke	5.384	6.55	0.419	0.016	6.9	5.16	3	4	7.524	46653
sunrise	sunset	4.22	5.389	0.48	0.297	5.13	6.07	6	6	7.494	62601
gun	shoot	7.377	6.557	0.241	0.417	6.08	4.35	3	3	7.447	28920
leap	jump	5.642	6.363	0.522	0.067	3.8	4.44	3	4	7.443	35692
triangle	square	5.159	7.463	0.432	0.041	5.19	5.15	8	5	7.443	66648
ceiling	roof	5.999	6.324	0.35	0.173	6.02	5.82	5	3	7.403	9821
enemy	friend	6.344	8.167	0.313	0.215	4.88	4.4	5	5	7.349	21262
ceremony	wedding	5.927	6.658	0.439	0.014	4.58	5.54	8	5	7.32	10028
broom	sweep	3.85	5.198	0.504	0.406	6.09	4.18	4	4	7.288	7670
steel	metal	6.36	6.463	0.308	0.121	5.82	6.76	4	5	7.284	60942
sweet	sour	6.946	5.187	0.372	0.405	4.53	4.54	4	3	7.256	63115
storm	rain	6.397	6.93	0.368	0.045	4.92	5.77	5	3	7.231	61467
weed	grass	4.762	6.441	0.449	0.022	5.96	5.93	3	4	7.23	70411
inch	foot	6.129	7.179	0.473	0.02	4.47	3.46	3	3	7.21	32446
cavity	tooth	4.277	4.984	0.543	0.043	5.6	6.15	6	3	7.182	9812
fabric	cloth	5.886	5.69	0.381	0.115	6.55	5.76	6	4	7.18	22753
marsh	swamp	4.615	4.357	0.521	0.088	5.7	6.62	4	5	7.158	38338
hum	sing	6.623	6.223	0.486	0.033	3.74	4.12	3	3	7.118	31561
eternity	forever	4.331	6.637	0.664	0.128	2.95	1.95	7	5	7.097	21768
pond	lake	5.273	7.397	0.351	0.087	6.14	5.7	4	3	7.081	47776
mail	letter	7.838	7.509	0.245	0.142	4.96	5.16	3	4	7.063	37743
knee	leg	5.903	6.271	0.355	0.024	6.78	6.04	2	3	7.007	34811
alarm	clock	5.602	6.219	0.388	0.079	4.86	6.94	5	4	6.993	1442
poker	card	5.037	7.337	0.414	0.061	4.92	5.61	4	4	6.986	47608
sleeve	shirt	4.344	6.5	0.461	0.038	5.61	6.05	4	3	6.958	57950
symphony	orchestra	4.963	5.489	0.477	0.093	5.35	5.79	7	8	6.939	63312
lady	woman	6.92	8.234	0.244	0.048	5.58	5.68	4	5	6.918	35134
cent	penny	5.209	5.501	0.486	0	5.25	5.92	4	4	6.847	9930
climate	weather	6.165	7.339	0.381	0.198	3.98	4.28	6	4	6.799	11643
nose	face	6.342	8.117	0.236	0.11	6.26	5.68	3	3	6.799	42396
bitter	sweet	6.29	6.946	0.435	0.02	4.05	4.53	4	4	6.775	5801
stem	flower	5.881	5.841	0.43	0.012	5.44	5.62	4	4	6.762	60994
log	wood	6.562	6.953	0.279	0.03	6.86	5.81	3	3	6.747	36974
shirt	pants	6.5	6.562	0.269	0.185	6.05	6.15	3	5	6.735	56718
butler	maid	5.056	5.13	0.435	0.106	6.16	6.25	5	3	6.73	8367
rough	smooth	6.332	6.271	0.352	0.416	4.48	3.91	3	4	6.71	53783
brook	stream	4.078	5.953	0.462	0.077	5.97	6.24	4	5	6.69	7664
mall	shop	6.052	6.979	0.342	0.091	5.94	5	3	3	6.647	37901
reef	coral	4.511	4.949	0.4	0.377	6.41	5.69	3	5	6.631	51637
velocity	speed	5.024	6.887	0.559	0.02	3.32	3.56	8	4	6.612	68834
calendar	date	5.756	7.575	0.305	0.063	6.48	5.38	7	3	6.609	8677
candy	sweet	5.7	6.946	0.336	0.162	6.56	4.53	5	4	6.599	8922
foot	shoe	7.179	5.318	0.337	0.321	3.46	5.96	3	2	6.576	25123
lunch	dinner	7.016	7.334	0.269	0.096	5.46	5.38	4	4	6.556	37447
tool	hammer	6.603	5.22	0.402	0.039	5.33	5.77	3	4	6.527	65698
skirt	dress	5.357	7.199	0.295	0.165	6.28	5.91	4	4	6.411	57793
grove	orange	4.868	6.435	0.436	0	5.62	5.74	4	5	6.399	28647
steak	meat	5.366	6.629	0.275	0.181	6.47	6.93	4	3	6.396	60888
core	apple	7.075	6.252	0.304	0.02	4.67	7	3	4	6.384	14105
pot	pan	6.186	6.066	0.286	0.351	5.3	5.74	3	3	6.383	48166
alcohol	beer	7.233	6.672	0.24	0.033	6.87	5.83	7	3	6.381	1462
woods	forest	6.637	6.62	0.237	0.096	6.87	6.37	4	6	6.372	71371
captain	ship	5.609	6.335	0.392	0	5.23	6.25	6	3	6.321	9095
rage	anger	5.743	6.004	0.541	0.042	3.23	3.75	3	4	6.312	50712
buzz	bee	5.308	4.787	0.521	0.039	4.08	5.93	3	2	6.308	8464
shallow	deep	5.529	7.364	0.399	0.307	3.19	3.96	4	3	6.281	56376
