order	word1	word2	word1e	word2e	easiness
1484	costume	wig	5.29	5.173	5.231
1570	cabinet	desk	4.303	6.158	5.23
119	nun	church	3.363	7.093	5.228
1697	coast	shore	5.941	4.513	5.227
276	cockpit	fly	1.614	8.832	5.223
118	rug	carpet	6.092	4.341	5.216
474	fill	empty	5.838	4.586	5.212
1659	grave	dead	3.992	6.422	5.207
797	gig	rock	1.257	9.114	5.185
1215	card	wallet	6.836	3.517	5.176
1236	shark	whale	4.978	5.373	5.176
1822	whale	shark	5.373	4.978	5.176
21	picture	photograph	7.33	3.01	5.17
1925	truck	tractor	7.336	2.99	5.163
565	voice	whisper	6.439	3.879	5.159
1684	end	beginning	7.912	2.403	5.158
255	vehicle	driver	4.418	5.896	5.157
117	lion	roar	6.701	3.606	5.153
1733	ant	beetle	6.343	3.963	5.153
775	land	acre	7.832	2.453	5.142
18	shot	aim	6.074	4.202	5.138
781	worm	snail	6.718	3.545	5.132
792	lemon	sour	5.76	4.502	5.131
1337	hole	tunnel	6.308	3.939	5.124
1548	fat	diet	6.955	3.289	5.122
125	dead	bury	6.422	3.815	5.119
115	pot	boil	6.293	3.927	5.11
1229	path	guide	5.488	4.729	5.109
1917	moose	deer	4.256	5.959	5.108
1108	plug	cord	5.173	5.041	5.107
231	drink	thirsty	7.618	2.592	5.105
336	canal	bridge	4.098	6.11	5.104
815	bang	drum	4.134	6.066	5.1
1555	tank	fuel	5.051	5.139	5.095
1932	contract	sign	2.051	8.121	5.086
196	direction	point	2.052	8.116	5.084
458	candy	fudge	6.242	3.911	5.077
782	garden	bloom	6.48	3.665	5.072
918	close	opening	6.742	3.395	5.068
1792	fork	napkin	6.568	3.531	5.049
334	cord	thread	5.041	5.052	5.047
701	sick	fever	6.065	4.023	5.044
686	lamp	candle	6.044	4.041	5.043
1689	needle	thread	5.031	5.052	5.042
52	easy	tough	5.12	4.963	5.041
1669	puddle	mud	3.298	6.779	5.039
1755	board	dock	6.568	3.502	5.035
904	frog	lizard	6.037	4.03	5.033
897	hawk	eagle	4.716	5.33	5.023
236	vine	grape	4.043	5.984	5.013
909	tongue	swallow	6.143	3.884	5.013
903	cape	costume	4.701	5.29	4.995
1851	lime	lemon	4.214	5.76	4.987
